no,no_spk,kapal,uraian_spk,part_no,jumlah,satuan,harga_satuan,received,place_rec,receipt,office_store,os_date,sent_to_agen,sta_no,sta_date,sent_to_ship,sts_no,sts_date,status,foto,jasa,jumlah_num,harga_satuan_num,total_harga
1,0343.SPK/BA.17/BA010102/2024,23,IAMSAR Edition 2022 Volume III,,1,pcs,3250000,2024-02-20,office,0011.GR/02/2024,,,logistik,14.2024,2024-02-27,23,14.2024,2024-03-19,,,,1.0,3250000.0,3250000.0
2,0345.SPK/BA.17/BA010102/2024,21,Kertas HVS,,4,pack,66250,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,4.0,66250.0,265000.0
3,0345.SPK/BA.17/BA010102/2024,21,Ballpoint,IMPA - 470638,2,pack,40625,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,2.0,40625.0,81250.0
4,0345.SPK/BA.17/BA010102/2024,21,Penghapus,IMPA - 470862,1,pack,43750,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,1.0,43750.0,43750.0
5,0345.SPK/BA.17/BA010102/2024,21,Katalog Peta,,1,pcs,337500,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,1.0,337500.0,337500.0
6,0345.SPK/BA.17/BA010102/2024,21,Wifi,,1,unit,1275000,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,1.0,1275000.0,1275000.0
7,0345.SPK/BA.17/BA010102/2024,21,Bohlam Navigasi,IMPA - 790411,6,pcs,53750,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,6.0,53750.0,322500.0
8,0345.SPK/BA.17/BA010102/2024,21,Lakban Bening,IMPA - 471261,6,pcs,8750,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,6.0,8750.0,52500.0
9,0345.SPK/BA.17/BA010102/2024,21,Panci Presto,,1,pcs,663750,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,1.0,663750.0,663750.0
10,0345.SPK/BA.17/BA010102/2024,21,Teflon,IMPA - 171731,1,lusin,3375000,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,1.0,3375000.0,3375000.0
11,0345.SPK/BA.17/BA010102/2024,21,Mangkok Melamin,IMPA - 173611,6,pcs,25000,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,6.0,25000.0,150000.0
12,0345.SPK/BA.17/BA010102/2024,21,Tissue,IMPA - 174220,6,pcs,12792,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,6.0,12792.0,76752.0
13,0345.SPK/BA.17/BA010102/2024,21,Ember 15 Liter,IMPA - 174159,4,pcs,47375,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,4.0,47375.0,189500.0
14,0345.SPK/BA.17/BA010102/2024,21,Sapu Sikat,IMPA - 510636,5,pcs,50000,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,5.0,50000.0,250000.0
15,0345.SPK/BA.17/BA010102/2024,21,Detergent,IMPA - 550108,20,kg,16250,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,20.0,16250.0,325000.0
16,0345.SPK/BA.17/BA010102/2024,21,Floor Cleaner,IMPA - 550507,6,pcs,62500,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,6.0,62500.0,375000.0
17,0345.SPK/BA.17/BA010102/2024,21,Baterai Ukuran D,IMPA - 792401,1,box,79375,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,1.0,79375.0,79375.0
18,0345.SPK/BA.17/BA010102/2024,21,Kuas Roll,IMPA - 510462,3,pack,10000,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,3.0,10000.0,30000.0
19,0345.SPK/BA.17/BA010102/2024,21,Kuas Tangan 65 mm,IMPA - 510119,5,pcs,12500,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,5.0,12500.0,62500.0
20,0345.SPK/BA.17/BA010102/2024,21,Kuas Tangan 40 mm,IMPA - 510117,5,pcs,7500,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,5.0,7500.0,37500.0
21,0345.SPK/BA.17/BA010102/2024,21,Fold Back Clips,IMPA - 471143,1,pack,12500,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,1.0,12500.0,12500.0
22,0345.SPK/BA.17/BA010102/2024,21,Desk Fixture Manual Pencil Sharpeners,IMPA - 470544,1,pcs,57500,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,1.0,57500.0,57500.0
23,0345.SPK/BA.17/BA010102/2024,21,Palu Chipping,IMPA - 612611,10,pcs,43750,2024-02-23,office,0004.GR/02/2024,,,logistik,11.2024,2024-02-27,21,11.2024,2024-03-27,,,,10.0,43750.0,437500.0
24,0393.SPK/BA.17/BA010102/2024,3,"8-Strand Nylon Hawsers CIR 8, 220 meter",,1,roll,29435000,2024-02-27,agen,0013.GR/02/2024,,,merak,,2024-02-27,3,194.2024,2024-02-27,,,,1.0,29435000.0,29435000.0
25,0393.SPK/BA.17/BA010102/2024,3,"8-Strand Nylon Hawsers CIR 10, 220 meter",,4,roll,49518000,2024-02-27,agen,0013.GR/02/2024,,,merak,,2024-02-27,3,194.2024,2024-02-27,,,,4.0,49518000.0,198072000.0
26,0385.SPK/BA.17/BA010102/2024,,Silicone Red,,20,pcs,35000,2024-02-23,office,0009.GR/02/2024,,,logistik,5.2024,2024-02-23,,,,,,,20.0,35000.0,700000.0
27,0385.SPK/BA.17/BA010102/2024,,"Selang Compressor (ID: 8,5 mm ; OD: 14,5 mm)",,1,roll,150000,2024-02-23,office,0009.GR/02/2024,,,logistik,5.2024,2024-02-23,,,,,,,1.0,150000.0,150000.0
28,0385.SPK/BA.17/BA010102/2024,,Cable Marine,,1,roll,750000,2024-02-23,office,0009.GR/02/2024,,,logistik,5.2024,2024-02-23,,,,,,,1.0,750000.0,750000.0
29,0385.SPK/BA.17/BA010102/2024,,Cable Marine,,1,roll,950000,2024-02-23,office,0009.GR/02/2024,,,logistik,5.2024,2024-02-23,,,,,,,1.0,950000.0,950000.0
30,0385.SPK/BA.17/BA010102/2024,,Bohlam Tornado,,20,pcs,65000,2024-02-23,office,0009.GR/02/2024,,,logistik,5.2024,2024-02-23,,,,,,,20.0,65000.0,1300000.0
31,0385.SPK/BA.17/BA010102/2024,,Air Accu Aquades,,140,liter,10000,2024-02-23,office,0009.GR/02/2024,,,logistik,5.2024,2024-02-23,,,,,,,140.0,10000.0,1400000.0
