no,UID,no_spk,title_spk,date_spk,vendor,kapal_spk,del_time,franco_spk,syarat_bayar,transport_spk,discount_spk,received,place_rec,no_rec,date_rec,status,inv_date,paid_date,status_proc,datesent_email,del_agree,type_spk,odoo,sent_type,sent_fee,sent_loc,sent_ket,logger,datelog,reim_trns,conn_inv,dirpek,investment,target_ai,docking,payment,terminpaid,date_paid,real_spksentdate,agreed_receiptdate,ket_revdate,noOFterm,invoicenom,monitor_recv,date_update_rec
1,DAr@U$zJyxO3qf!8uHkiaN5eV,0376.SPK/BA.17/BA010102/2024,Pengadaan Battery Accu,2024-02-20,1,21,2,,,,0,full,,,2024-02-23,inv2,2025-01-29,,proc,2024-02-20,,,,,,,,,,,0,,,,,paid,,,,,,0,0,,
2,OfqKPGa$lbWkv5tYhj9uUeirI,0375.SPK/BA.17/BA010102/2024,Pengadaan Obat-Obatan,2024-02-20,1,,2,,,,0,full,,,,inv,,,proc,2024-02-20,,,,,,,,,,,0,,,,,paid,,,,,,0,0,,
3,XwI4b6ZfNO$S37eWitsxuV)dq,0344.SPK/BA.17/BA010102/2024,Pengadaan Running Store,2024-02-15,2,21,7,,,,0,full,,,2024-02-27,inv,,,proc,2024-02-15,,,,,,,,,,,0,,,,,paid,,,,,,0,0,,
4,rlpL@V8eMYnXHE*fJQujK!Uy),0345.SPK/BA.17/BA010102/2024,Pengadaan Running Store,2024-02-15,3,21,10,"PT Pelayaran Bahtera Adhiguna, Jl. Kalibesar Timur No. 10-12. Jakarta Barat",,0,0,full,,,,inv2,2025-01-28,,,2024-02-15,,,,,,,,,,,0,,,,,paid,,,,,,0,0,,
5,f6N9!@xBnLzOSPZh0wG8abquV,0300.SPK/BA.17/BA010102/2024,Pengadaan Material Cat,2024-02-07,4,21,13,,,,0,full,,,,inv2,2025-01-21,,proc,2024-02-07,,,,,,,,,,,0,,,,,paid,,,,,,0,0,,
6,*JI8rGl7ikL^AaNpMVH1(nqT%,0343.SPK/BA.17/BA010102/2024,Pengadaan Buku IAMSAR Volume III,2024-02-07,6,23,7,,,,0,full,,,,inv2,2025-01-28,,proc,2024-02-15,,,,,,,,,,,0,,,,,paid,,,,,,0,0,,
7,Q@Iv5P*oNxYg6VS2iZz!hltDe,0342.SPK/BA.17/BA010102/2024,Pengadaan Material Cat,2024-02-15,4,23,13,,,,0,full,,,,inv2,2025-01-28,,proc,2024-02-16,,,,,,,,,,,0,,,,,paid,,,,,,0,0,,
8,gAw2Ht9lIr8ik7@Kja4yQ*Sfh,0385.SPK/BA.17/BA010102/2024,Running Store,2024-02-20,1,,14,,,,0,full,,,,inv2,2025-01-29,,proc,2024-06-11,,,,,,,,,,,0,,,,,paid,,,,,,0,0,,
11,oz9$)VwAxLsdR!4BCjXJqyuT%,0393.SPK/BA.17/BA010102/2024,Pengadaan Tali Mooring,2024-02-22,2,3,7,PLTU Suralaya - Onboard MV. Rasuna Baruna,,3500000,0,full,,,,inv2,2025-01-29,,proc,2024-02-22,,,,,,,,,,,0,,,,,paid,,,,,,0,0,,
12,Hbp2v$(Nfl8q)oKJEGk6aBerZ,0384.SPK/BA.17/BA010102/2024,Running Store - Supply Pipa Hydraulic,2024-02-19,7,3,7,PLTU Piton - Onboard MV Rasuna Baruna,,0,0,full,,,,inv2,2025-01-29,,,2024-02-19,,,,,,,,,,,0,,,,,paid,,,,,,0,0,,
