Nomor SPK,Tanggal SPK,Nama Kapal,Jumlah Jenis Item,Daftar Uraian Barang,Daftar Part Number,Daftar Qty & Satuan,Rincian Lengkap Barang
0994.SPK/BA.302/BA010102/2026,2026-07-01,Malahayati Baruna,1,"1. PUMP ASSY, INJECTION",1. OLD PN 746673-51104 NEW PN 746673-51108,1. 6 set,"1. PUMP ASSY, INJECTION [PN: OLD PN 746673-51104 NEW PN 746673-51108] (6 set)"
1005.SPK/BA.17/BA010102/2026,2026-07-02,Latifah Baruna,3,"1. UMEGUARD SX REDDISH
2. UMEGUARD SX GREY
3. UMEGUARD SX HARDWARE","1. -
2. -
3. INCLUDE NI 1&2","1. 540 kg
2. 540 kg
3. 0 kg","1. UMEGUARD SX REDDISH (540 kg)
2. UMEGUARD SX GREY (540 kg)
3. UMEGUARD SX HARDWARE [PN: INCLUDE NI 1&2] (0 kg)"
0991.SPK/BA.101/BA010102/2026,2026-07-01,Martha Baruna,2,"1. JASA ULTRASONIC THICKNES MEASUREMENT
2. REPORTING","1. -
2. -","1. 1 lot
2. 1 lot","1. JASA ULTRASONIC THICKNES MEASUREMENT (1 lot)
2. REPORTING (1 lot)"
0990.SPK/BA.17/BA010102/2026,2026-07-01,Rasuna Baruna,2,"1. CANVAS BRAKE LINNING
2. ACCESSORIES","1. -
2. -","1. 25 roll
2. 3 pcs","1. CANVAS BRAKE LINNING (25 roll)
2. ACCESSORIES (3 pcs)"
1000.SPK/PR.202/BA010102/2026,2026-07-01,Adhiguna Tarahan,2,"1. JASA RECASTING RUBBER SPIROFLEX
2. BIAYA TRANSPORTASI","1. -
2. -","1. 4 pcs
2. 1 lot","1. JASA RECASTING RUBBER SPIROFLEX (4 pcs)
2. BIAYA TRANSPORTASI (1 lot)"
0995.SPK/BA.302/BA010102/2026,2026-07-01,Kencana Baruna,3,"1. PISTON LP
2. PISTON HP
3. CYLINDER HEAD","1. 3382
2. 3398
3. 1255","1. 2 pcs
2. 2 pcs
3. 1 set","1. PISTON LP [PN: 3382] (2 pcs)
2. PISTON HP [PN: 3398] (2 pcs)
3. CYLINDER HEAD [PN: 1255] (1 set)"
1009.SPK/BA.302/BA010102/2026,2026-07-02,Martha Baruna,4,"1. CRANK SHAFT
2. OIL FILTER ELEMENT
3. BALANCE WEIGHT BOLT
4. BALANCE WEIGHT","1. -
2. FO-401
3. SCM435
4. FCD400","1. 2 pcs
2. 10 pcs
3. 8 pcs
4. 4 pcs","1. CRANK SHAFT (2 pcs)
2. OIL FILTER ELEMENT [PN: FO-401] (10 pcs)
3. BALANCE WEIGHT BOLT [PN: SCM435] (8 pcs)
4. BALANCE WEIGHT [PN: FCD400] (4 pcs)"
0996.SPK/BA.302/BA010102/2026,2026-07-01,Sartika Baruna,4,"1. PISTON RING SET
2. CYLINDER LINER
3. BOSCH PUMP UNIT
4. FUEL OIL INJECTION DEVICE","1. -
2. E265080020
3. E266480040
4. E26628","1. 5 set
2. 3 pcs
3. 1 set
4. 4 set","1. PISTON RING SET (5 set)
2. CYLINDER LINER [PN: E265080020] (3 pcs)
3. BOSCH PUMP UNIT [PN: E266480040] (1 set)
4. FUEL OIL INJECTION DEVICE [PN: E26628] (4 set)"
0992.SPK/BA.101/BA010102/2026,2026-07-01,Malahayati Baruna,15,"1. Overhaul, Bench Test and Calibration
2. Service of Speed Setting Device
3. Dismounting, Mounting, Transport & Commissioning
4. Dismounting, Mounting, Transport & Servicing
5. Kit RHD
6. PV Plunger Assy
7. Drive Shaft
8. Bushing Terminal Shaft
9. Floating Lever
10. Droop Bracket
11. Oil Gauge
12. - Servo Motor Kit
13. - Linkage Set
14. Bearing Driving Gear Device
15. DISKON","1. -
2. -
3. -
4. -
5. -
6. -
7. -
8. -
9. -
10. -
11. -
12. -
13. -
14. -
15. -","1. 3 Unit
2. 3 Unit
3. 3 Unit
4. 3 Unit
5. 3 Set
6. 3 Pc
7. 3 Pc
8. 6 Pc
9. 3 Pc
10. 3 Pc
11. 3 Pc
12. 3 Set
13. 3 Set
14. 6 Pc
15. 1 lot","1. Overhaul, Bench Test and Calibration (3 Unit)
2. Service of Speed Setting Device (3 Unit)
3. Dismounting, Mounting, Transport & Commissioning (3 Unit)
4. Dismounting, Mounting, Transport & Servicing (3 Unit)
5. Kit RHD (3 Set)
6. PV Plunger Assy (3 Pc)
7. Drive Shaft (3 Pc)
8. Bushing Terminal Shaft (6 Pc)
9. Floating Lever (3 Pc)
10. Droop Bracket (3 Pc)
11. Oil Gauge (3 Pc)
12. - Servo Motor Kit (3 Set)
13. - Linkage Set (3 Set)
14. Bearing Driving Gear Device (6 Pc)
15. DISKON (1 lot)"
1016.SPK/BA.202/BA010102/2026,2026-07-02,Jayanti Baruna,18,"1. BALL BEARING for cargo hold, ME Gearbox LO pump, Air CONDITIONING COMP RR
2. BALL BEARING for FO purifier, Daily bilge pp, Sludge ff pp, sewage ff pp, Hot water circ pp
3. BALL BEARING for ME LO Purifier, Daily bilge pp, sludge ff pp, sewage ff pp, ME FO circ pp, ME exh gas fan
4. BALL BEARING for sewage transfer pump, FO PURIFIER
5. BALL BEARING for FO Transfer pp, ME LO Purifier, FW hydrophone pp
6. BALL BEARING for Ballast Pp, Main Cooling SW pp, ME HT CW stand by pp, LT CW stand by pp
7. BALL BEARING for Aux cooling FW pump
8. BALL BEARING Emergency fire pump, ME LO stand by pump, Emergency fire pump
9. BALL BEARING for ME LO stand by pump
10. BALL BEARING for Fire, bilge & GS pp, Cargo chiller FW circulation pp, Chiller Unit Cooling SW pp
11. BALL BEARING for Cargo chiller FW circulation pp, Chiller Unit Cooling SW pp
12. BALL BEARING for Deck Water Spray pump
13. BALL BEARING for Galley exhaust fan
14. BALL BEARING for ME LO Purifier, Sewage discharge PP
15. BALL BEARING for VRC hydraulic pp
16. BEARING ELECTROMOTOR AC COMPRESSOR
17. BEARING ELECTROMOTOR AC COMPRESSOR
18. BEARING ELECTROMOTOR FOR BLOWER FAN","1. 6312 (NTN/FAG)
2. 6204 ZZ C3 (NTN/FAG)
3. 6205 ZZ C3 (NTN/FAG)
4. 6305 ZZ C3 (NTN/FAG)
5. 6306 ZZ C3 (NTN/FAG)
6. 6309ZZ C3 (NTN/FAG)
7. 6311 ZZ C3 (NTN/FAG)
8. 6312 ZZ C3 (NTN/FAG)
9. 6313 ZZ C3 (NTN/FAG)
10. 6314 C3 (NTN/FAG)
11. 6315 C3 (NTN/FAG)
12. 6316 C3 (NTN/FAG)
13. 6205-2RSH (SKF)
14. 6205-ZZ (NTN/FAG)
15. 6206-DDU/C3 (NTN/FAG)
16. 6312-/C3 (NTN/FAG)
17. 6313-/C3 (NTN/FAG)
18. 6309 (NTN/FAG)","1. 5 PCS
2. 6 PCS
3. 12 PCS
4. 2 PCS
5. 10 PCS
6. 14 PCS
7. 4 PCS
8. 4 PCS
9. 2 PCS
10. 8 PCS
11. 4 PCS
12. 4 PCS
13. 2 PCS
14. 2 PCS
15. 4 PCS
16. 2 PCS
17. 2 PCS
18. 4 PCS","1. BALL BEARING for cargo hold, ME Gearbox LO pump, Air CONDITIONING COMP RR [PN: 6312 (NTN/FAG)] (5 PCS)
2. BALL BEARING for FO purifier, Daily bilge pp, Sludge ff pp, sewage ff pp, Hot water circ pp [PN: 6204 ZZ C3 (NTN/FAG)] (6 PCS)
3. BALL BEARING for ME LO Purifier, Daily bilge pp, sludge ff pp, sewage ff pp, ME FO circ pp, ME exh gas fan [PN: 6205 ZZ C3 (NTN/FAG)] (12 PCS)
4. BALL BEARING for sewage transfer pump, FO PURIFIER [PN: 6305 ZZ C3 (NTN/FAG)] (2 PCS)
5. BALL BEARING for FO Transfer pp, ME LO Purifier, FW hydrophone pp [PN: 6306 ZZ C3 (NTN/FAG)] (10 PCS)
6. BALL BEARING for Ballast Pp, Main Cooling SW pp, ME HT CW stand by pp, LT CW stand by pp [PN: 6309ZZ C3 (NTN/FAG)] (14 PCS)
7. BALL BEARING for Aux cooling FW pump [PN: 6311 ZZ C3 (NTN/FAG)] (4 PCS)
8. BALL BEARING Emergency fire pump, ME LO stand by pump, Emergency fire pump [PN: 6312 ZZ C3 (NTN/FAG)] (4 PCS)
9. BALL BEARING for ME LO stand by pump [PN: 6313 ZZ C3 (NTN/FAG)] (2 PCS)
10. BALL BEARING for Fire, bilge & GS pp, Cargo chiller FW circulation pp, Chiller Unit Cooling SW pp [PN: 6314 C3 (NTN/FAG)] (8 PCS)
11. BALL BEARING for Cargo chiller FW circulation pp, Chiller Unit Cooling SW pp [PN: 6315 C3 (NTN/FAG)] (4 PCS)
12. BALL BEARING for Deck Water Spray pump [PN: 6316 C3 (NTN/FAG)] (4 PCS)
13. BALL BEARING for Galley exhaust fan [PN: 6205-2RSH (SKF)] (2 PCS)
14. BALL BEARING for ME LO Purifier, Sewage discharge PP [PN: 6205-ZZ (NTN/FAG)] (2 PCS)
15. BALL BEARING for VRC hydraulic pp [PN: 6206-DDU/C3 (NTN/FAG)] (4 PCS)
16. BEARING ELECTROMOTOR AC COMPRESSOR [PN: 6312-/C3 (NTN/FAG)] (2 PCS)
17. BEARING ELECTROMOTOR AC COMPRESSOR [PN: 6313-/C3 (NTN/FAG)] (2 PCS)
18. BEARING ELECTROMOTOR FOR BLOWER FAN [PN: 6309 (NTN/FAG)] (4 PCS)"
