tug_type,request_id,request_number,tug_number,spk_number,spk_id,vessel_name,destination_port,warehouse,status,created_at,created_by,notes,work_order_ref,item_no,spare_part_id,spare_part_name,part_number,requested_qty,approved_qty,unit,unit_price,remaining_stock,item_notes
TUG5_TUG6,mr-tug5-1,MR-2026-000001,,0994.SPK/BA.302/BA010102/2026,spk-juli-1,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0994.SPK/BA.302/BA010102/2026,1,sp-juli-1,"PUMP ASSY, INJECTION",OLD PN 746673-51104 NEW PN 746673-51108,6,6,set,0,10,Permintaan SPK 0994.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-2,MR-2026-000002,,1005.SPK/BA.17/BA010102/2026,spk-juli-2,Latifah Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1005.SPK/BA.17/BA010102/2026,1,sp-juli-2,UMEGUARD SX REDDISH,-,540,540,kg,0,10,Permintaan SPK 1005.SPK/BA.17/BA010102/2026
TUG5_TUG6,mr-tug5-2,MR-2026-000002,,1005.SPK/BA.17/BA010102/2026,spk-juli-2,Latifah Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1005.SPK/BA.17/BA010102/2026,2,sp-juli-3,UMEGUARD SX GREY,-,540,540,kg,0,10,Permintaan SPK 1005.SPK/BA.17/BA010102/2026
TUG5_TUG6,mr-tug5-2,MR-2026-000002,,1005.SPK/BA.17/BA010102/2026,spk-juli-2,Latifah Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1005.SPK/BA.17/BA010102/2026,3,sp-juli-4,UMEGUARD SX HARDWARE,INCLUDE NI 1&2,0,0,kg,0,10,Permintaan SPK 1005.SPK/BA.17/BA010102/2026
TUG5_TUG6,mr-tug5-3,MR-2026-000003,,0991.SPK/BA.101/BA010102/2026,spk-juli-3,Martha Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0991.SPK/BA.101/BA010102/2026,1,sp-juli-5,JASA ULTRASONIC THICKNES MEASUREMENT,-,1,1,lot,0,10,Permintaan SPK 0991.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-3,MR-2026-000003,,0991.SPK/BA.101/BA010102/2026,spk-juli-3,Martha Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0991.SPK/BA.101/BA010102/2026,2,sp-juli-6,REPORTING,-,1,1,lot,0,10,Permintaan SPK 0991.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-4,MR-2026-000004,,0990.SPK/BA.17/BA010102/2026,spk-juli-4,Rasuna Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0990.SPK/BA.17/BA010102/2026,1,sp-juli-7,CANVAS BRAKE LINNING,-,25,25,roll,0,10,Permintaan SPK 0990.SPK/BA.17/BA010102/2026
TUG5_TUG6,mr-tug5-4,MR-2026-000004,,0990.SPK/BA.17/BA010102/2026,spk-juli-4,Rasuna Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0990.SPK/BA.17/BA010102/2026,2,sp-juli-8,ACCESSORIES,-,3,3,pcs,0,10,Permintaan SPK 0990.SPK/BA.17/BA010102/2026
TUG5_TUG6,mr-tug5-5,MR-2026-000005,,1000.SPK/PR.202/BA010102/2026,spk-juli-5,Adhiguna Tarahan,,,Approved,2026-07-01T08:00:00.000Z,,,1000.SPK/PR.202/BA010102/2026,1,sp-juli-9,JASA RECASTING RUBBER SPIROFLEX,-,4,4,pcs,0,10,Permintaan SPK 1000.SPK/PR.202/BA010102/2026
TUG5_TUG6,mr-tug5-5,MR-2026-000005,,1000.SPK/PR.202/BA010102/2026,spk-juli-5,Adhiguna Tarahan,,,Approved,2026-07-01T08:00:00.000Z,,,1000.SPK/PR.202/BA010102/2026,2,sp-juli-10,BIAYA TRANSPORTASI,-,1,1,lot,0,10,Permintaan SPK 1000.SPK/PR.202/BA010102/2026
TUG5_TUG6,mr-tug5-6,MR-2026-000006,,0995.SPK/BA.302/BA010102/2026,spk-juli-6,Kencana Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0995.SPK/BA.302/BA010102/2026,1,sp-juli-11,PISTON LP,3382,2,2,pcs,0,10,Permintaan SPK 0995.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-6,MR-2026-000006,,0995.SPK/BA.302/BA010102/2026,spk-juli-6,Kencana Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0995.SPK/BA.302/BA010102/2026,2,sp-juli-12,PISTON HP,3398,2,2,pcs,0,10,Permintaan SPK 0995.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-6,MR-2026-000006,,0995.SPK/BA.302/BA010102/2026,spk-juli-6,Kencana Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0995.SPK/BA.302/BA010102/2026,3,sp-juli-13,CYLINDER HEAD,1255,1,1,set,0,10,Permintaan SPK 0995.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-7,MR-2026-000007,,1009.SPK/BA.302/BA010102/2026,spk-juli-7,Martha Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1009.SPK/BA.302/BA010102/2026,1,sp-juli-14,CRANK SHAFT,-,2,2,pcs,0,10,Permintaan SPK 1009.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-7,MR-2026-000007,,1009.SPK/BA.302/BA010102/2026,spk-juli-7,Martha Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1009.SPK/BA.302/BA010102/2026,2,sp-juli-15,OIL FILTER ELEMENT,FO-401,10,10,pcs,0,10,Permintaan SPK 1009.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-7,MR-2026-000007,,1009.SPK/BA.302/BA010102/2026,spk-juli-7,Martha Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1009.SPK/BA.302/BA010102/2026,3,sp-juli-16,BALANCE WEIGHT BOLT,SCM435,8,8,pcs,0,10,Permintaan SPK 1009.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-7,MR-2026-000007,,1009.SPK/BA.302/BA010102/2026,spk-juli-7,Martha Baruna,,,Approved,2026-07-02T08:00:00.000Z,,,1009.SPK/BA.302/BA010102/2026,4,sp-juli-17,BALANCE WEIGHT,FCD400,4,4,pcs,0,10,Permintaan SPK 1009.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-8,MR-2026-000008,,0996.SPK/BA.302/BA010102/2026,spk-juli-8,Sartika Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0996.SPK/BA.302/BA010102/2026,1,sp-juli-18,PISTON RING SET,-,5,5,set,0,10,Permintaan SPK 0996.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-8,MR-2026-000008,,0996.SPK/BA.302/BA010102/2026,spk-juli-8,Sartika Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0996.SPK/BA.302/BA010102/2026,2,sp-juli-19,CYLINDER LINER,E265080020,3,3,pcs,0,10,Permintaan SPK 0996.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-8,MR-2026-000008,,0996.SPK/BA.302/BA010102/2026,spk-juli-8,Sartika Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0996.SPK/BA.302/BA010102/2026,3,sp-juli-20,BOSCH PUMP UNIT,E266480040,1,1,set,0,10,Permintaan SPK 0996.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-8,MR-2026-000008,,0996.SPK/BA.302/BA010102/2026,spk-juli-8,Sartika Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0996.SPK/BA.302/BA010102/2026,4,sp-juli-21,FUEL OIL INJECTION DEVICE,E26628,4,4,set,0,10,Permintaan SPK 0996.SPK/BA.302/BA010102/2026
TUG5_TUG6,mr-tug5-9,MR-2026-000009,,0992.SPK/BA.101/BA010102/2026,spk-juli-9,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0992.SPK/BA.101/BA010102/2026,1,sp-juli-22,"Overhaul, Bench Test and Calibration",-,3,3,Unit,0,10,Permintaan SPK 0992.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-9,MR-2026-000009,,0992.SPK/BA.101/BA010102/2026,spk-juli-9,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0992.SPK/BA.101/BA010102/2026,2,sp-juli-23,Service of Speed Setting Device,-,3,3,Unit,0,10,Permintaan SPK 0992.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-9,MR-2026-000009,,0992.SPK/BA.101/BA010102/2026,spk-juli-9,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0992.SPK/BA.101/BA010102/2026,3,sp-juli-24,"Dismounting, Mounting, Transport & Commissioning",-,3,3,Unit,0,10,Permintaan SPK 0992.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-9,MR-2026-000009,,0992.SPK/BA.101/BA010102/2026,spk-juli-9,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0992.SPK/BA.101/BA010102/2026,4,sp-juli-25,"Dismounting, Mounting, Transport & Servicing",-,3,3,Unit,0,10,Permintaan SPK 0992.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-9,MR-2026-000009,,0992.SPK/BA.101/BA010102/2026,spk-juli-9,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0992.SPK/BA.101/BA010102/2026,5,sp-juli-26,Kit RHD,-,3,3,Set,0,10,Permintaan SPK 0992.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-9,MR-2026-000009,,0992.SPK/BA.101/BA010102/2026,spk-juli-9,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0992.SPK/BA.101/BA010102/2026,6,sp-juli-27,PV Plunger Assy,-,3,3,Pc,0,10,Permintaan SPK 0992.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-9,MR-2026-000009,,0992.SPK/BA.101/BA010102/2026,spk-juli-9,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0992.SPK/BA.101/BA010102/2026,7,sp-juli-28,Drive Shaft,-,3,3,Pc,0,10,Permintaan SPK 0992.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-9,MR-2026-000009,,0992.SPK/BA.101/BA010102/2026,spk-juli-9,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0992.SPK/BA.101/BA010102/2026,8,sp-juli-29,Bushing Terminal Shaft,-,6,6,Pc,0,10,Permintaan SPK 0992.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-9,MR-2026-000009,,0992.SPK/BA.101/BA010102/2026,spk-juli-9,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0992.SPK/BA.101/BA010102/2026,9,sp-juli-30,Floating Lever,-,3,3,Pc,0,10,Permintaan SPK 0992.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-9,MR-2026-000009,,0992.SPK/BA.101/BA010102/2026,spk-juli-9,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0992.SPK/BA.101/BA010102/2026,10,sp-juli-31,Droop Bracket,-,3,3,Pc,0,10,Permintaan SPK 0992.SPK/BA.101/BA010102/2026
TUG5_TUG6,mr-tug5-9,MR-2026-000009,,0992.SPK/BA.101/BA010102/2026,spk-juli-9,Malahayati Baruna,,,Approved,2026-07-01T08:00:00.000Z,,,0992.SPK/BA.101/BA010102/2026,11,sp-juli-32,Oil Gauge,-,3,3,Pc,0,10,Permintaan SPK 0992.SPK/BA.101/BA010102/2026
